PrefLabel,StopTerms.english,WhiteTerms.english
physiological transport,urban metabolism;cities' metabolism;area metabolism;city's metabolism;cities metabolism;urban metabolisms;city metabolism,gastrointestinal;metabolism;blood-brain barrier;peptide;peptides
Republic of Georgia,,Caucasus;Armenia;Azerbaijan;Ossetia;Adjara;Abkhazia;Tbilisi
rose hips,,Roses;Fruit;Ripening;fruit;rose;fruits;Fruits;Rosa;Rose;roses;ripening
DNA barcoding,optical barcoding;Optical Barcoding;Optical barcoding,16S;psbA-trnH;rbcL;tuf;26S;rpoB;cox1;Genomic;ITS;beta-tubulin;Chromosome;loci;tubulin;18S;Genome;cytochrome;molecular marker;RNA;genes;COI;genome;Genes;Genomes;SSU;gene;chromosomes;LSU;molecular markers;chromosome;Cytb;Gene;gnd;16Scpn60;genomic;RPB1;microsatellite;RPB2;genomics;Genomics;species-specific;12S;Chromosomes;DNA;PCR;matK
fuels (fire ecology),,preburnt vegetation;dead woody fuel;preburned vegetation;wildfire;aboveground fuels;ground fuel;forest fires;prescribed burned;prescribed burnings;fire weather;shrubland fire;wildland fuels;grassland fires;prescribed burnt;above-ground fuels;crown fires;grassland fire;wild fires;aboveground fuel;dead woody fuels;prescribed burning;prescribed fires;ladder fuels;wildfires;ladder fuel;wildland fuel;shurbland fires;crown fire;preburn vegetation;ground fuels;wild fire;forest floor;forest fire;prescribed burns;prescribed fire;above-ground fuel;canopy;prescribed burn
nucleic acid hybridization,,non-complementary RNAs;probe RNA;enhanced hybridizations;nucleic acid probe;RNA-DNA;RNA-RNA;detection of DNA;oligonucleotide;complementary RNAs;complementary DNAs;non-complementary RNA;DNA probe;non-complementary DNA;RNA detection;enhanced hybridisation;complementary RNA;nucleic acids detection;nucleic acid probes;oligonucleotides;DNA-RNA;non-complementary DNAs;DNA-DNA;enhanced hybridisations;aptamers;nucleic acid detection;complementary DNA;DNA probes;enhanced hybridization;RNA probe;RNA probes;probe DNA;single-strand;detection of nucleic acids;aptamer;detection of RNA;DNA detection
water hardness,,Groundwater;Potable;pH;L⁻¹;drinking water;potable;water sample;Total solids;Water sample;water samples;mL⁻¹;total solids;Water samples;Drinking water;groundwater
catalytic cracking,,catalyst;catalytic;catalysts;catalysis
subsoiling,subsoil properties;subsoil property;topsoil;subsoil depth,
inhalation exposure,,exposure
oral exposure,,exposure
nuts (equipment),,dowel;screw;screws;wrench;wrenches;dowels;fittings;bolt;fasteners;bolts
phenotypic plasticity,,transcription;transcriptomics;phenotype;phenological;phenology;phenologic;phenotypes;phenotypic;transcriptomic;transcriptional;transcriptome;transcriptomes